28/2/2025 0:00 | vZE5fVGzH59oPyLyGJQ3ueZMwtlzjJHK | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/eco-challenge | Request Body : {} | Response :  [{"id":1,"user_id":2,"challenge_name":"string","description":"string","city":"string","status":"active","created_at":"2025-02-27T18:28:41.133Z","updated_at":"2025-02-27T18:28:41.133Z"}]
28/2/2025 0:10 | erzrLUl9RMT6MU10H7rHfb8ZdAXbkiSt | [error] | Method: POST | Status: 422 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {} | BadRequestError : {"reward_points":"reward_points is required"}
28/2/2025 0:11 | 7QJOCZt7x8gOpFTwqqJkcTfjSywvpRU3 | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {"reward_points":20} | Error : Error: column "reward_points" of relation "eco_challenges" does not exist
28/2/2025 0:12 | JCmuSWTHSrlRwY5ZGybVWMrLQmG4bgyo | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {"reward_points":20} | Error : Error: column "reward_points" of relation "eco_challenges" does not exist
28/2/2025 0:13 | 3Ucgndi158Rfyyq3TZ7BzRe4EluKqcgW | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {"reward_points":20} | Response :  {"id":1,"user_id":2,"reward_points":20,"created_at":"2025-02-27T18:43:31.936Z","updated_at":"2025-02-27T18:43:31.936Z"}
28/2/2025 0:14 | 1HOXK2PAqZ5ZCmnqiYC9ZgWeeZe8k7SQ | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {} | Response :  [{"id":1,"user_id":2,"reward_points":20,"created_at":"2025-02-27T18:43:31.936Z","updated_at":"2025-02-27T18:43:31.936Z"}]
28/2/2025 0:17 | rYlvxSh2ujERO1sN8XgeBnoDcqrC1CUB | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points/history | Request Body : {} | Response :  [{"id":1,"user_id":2,"reward_points":20,"created_at":"2025-02-27T18:43:31.936Z","updated_at":"2025-02-27T18:43:31.936Z"}]
28/2/2025 0:17 | uNONzZrPSDx6G84TW17LCa7qi1nl7CD0 | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {"reward_points":22} | Response :  {"id":2,"user_id":2,"reward_points":22,"created_at":"2025-02-27T18:47:14.659Z","updated_at":"2025-02-27T18:47:14.659Z"}
28/2/2025 0:17 | gNQ8rlebtuA7vSbAdYLu3XCOit3KyscO | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points/history | Request Body : {} | Response :  [{"id":1,"user_id":2,"reward_points":20,"created_at":"2025-02-27T18:43:31.936Z","updated_at":"2025-02-27T18:43:31.936Z"},{"id":2,"user_id":2,"reward_points":22,"created_at":"2025-02-27T18:47:14.659Z","updated_at":"2025-02-27T18:47:14.659Z"}]
28/2/2025 0:18 | ljLiHGn8mRcZFgKXyAqmKNBbsr4OrWtx | [error] | Method: GET | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {} | Error : Error: column green_points.createdAt does not exist
28/2/2025 0:19 | zhpUcEnAAcRDOnByTq2XnIuNHIlvA1Oc | [error] | Method: GET | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {} | Error : Error: column green_points.createdAt does not exist
28/2/2025 0:20 | xh9KwhTkxuYaxhW9CNFszu41iq77xPaK | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {} | Response :  {"id":2,"user_id":2,"reward_points":22,"created_at":"2025-02-27T18:47:14.659Z","updated_at":"2025-02-27T18:47:14.659Z"}
28/2/2025 0:20 | FCD2Az88kt4naM6nNUbv3KwU6pKJCBee | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points | Request Body : {} | Response :  {"id":2,"user_id":2,"reward_points":22,"created_at":"2025-02-27T18:47:14.659Z","updated_at":"2025-02-27T18:47:14.659Z"}
28/2/2025 0:20 | jN1rH2PpnwQXYEB4BEAfE0GaFoR8Incn | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/green-points/history | Request Body : {} | Response :  [{"id":1,"user_id":2,"reward_points":20,"created_at":"2025-02-27T18:43:31.936Z","updated_at":"2025-02-27T18:43:31.936Z"},{"id":2,"user_id":2,"reward_points":22,"created_at":"2025-02-27T18:47:14.659Z","updated_at":"2025-02-27T18:47:14.659Z"}]
28/2/2025 0:38 | MJbaM0q4DHKyLsG2Cg6Mk4ptkUsg5Cse | [error] | Method: POST | Status: 422 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {"reward_points":20} | BadRequestError : {"carbon_footprint":"carbon_footprint is required","date_recorded":"date_recorded is required","category":"category is required"}
28/2/2025 0:41 | 3eg72YX9MstqHorCxif2GiOL5GqlhqOv | [error] | Method: POST | Status: 422 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {"carbon_footprint_score":20,"date_recorded":"2021-06-01","category":"string","comments":"string"} | BadRequestError : {"carbon_footprint":"carbon_footprint is required","category":"category must be [transport, electricity, food]"}
